방영일,회차,시청률,장르별순위
2024.9.5,8회,3.97%,"종합 1위, 예능 1위"
2024.8.29,7회,5.13%,"종합 1위, 예능 1위"
2024.8.22,6회,5.51%,"종합 1위, 예능 1위"
2024.8.15,5회,5.07%,"종합 1위, 예능 1위"
2024.8.8,4회,4.82%,"종합 1위, 예능 1위"
2024.8.1,3회,4.31%,"종합 1위, 예능 1위"
2024.7.25,2회,4.53%,"종합 1위, 예능 1위"
2024.7.18,1회,3.41%,"종합 1위, 예능 1위"
