방영일,회차,시청률,장르별순위
2024.8.30,10회,7.43%,"종합 1위, 예능 1위"
2024.8.23,9회,6.85%,"종합 1위, 예능 1위"
2024.8.16,8회,7.68%,"종합 1위, 예능 1위"
2024.8.9,7회,8.17%,"종합 1위, 예능 1위"
2024.8.2,6회,7.71%,"종합 1위, 예능 1위"
2024.7.26,5회,9.21%,"종합 1위, 예능 1위"
2024.7.19,4회,8.18%,"종합 1위, 예능 1위"
2024.7.12,3회,9.06%,"종합 1위, 예능 1위"
2024.7.5,2회,8.14%,"종합 1위, 예능 1위"
2024.6.28,1회,6.89%,"종합 1위, 예능 1위"
